person,personLabel
http://www.wikidata.org/entity/Q3528405,सय्यद अबिद अली
http://www.wikidata.org/entity/Q3527897,वी॰ बी॰ चन्द्रशेखर
http://www.wikidata.org/entity/Q3527900,इक़बाल सिद्दीकी
http://www.wikidata.org/entity/Q3527908,ख़ान मोहम्मद इब्राहिम
http://www.wikidata.org/entity/Q3527912,इब्राहिम माका
http://www.wikidata.org/entity/Q3527922,आशीष कपूर
http://www.wikidata.org/entity/Q3528015,जय यादव
http://www.wikidata.org/entity/Q3528024,एम॰जे॰ गोपालन
http://www.wikidata.org/entity/Q3528040,एल॰ पी॰ जय
http://www.wikidata.org/entity/Q3528054,शदाशिव शिंदे
http://www.wikidata.org/entity/Q3528069,अशोक मल्होत्रा
http://www.wikidata.org/entity/Q3528244,आकाश चोपड़ा
http://www.wikidata.org/entity/Q3528283,अमय खुरासिया
http://www.wikidata.org/entity/Q3528288,एम॰ एस॰ के॰ प्रसाद
http://www.wikidata.org/entity/Q3528318,सी॰ डी॰ गोपीनाथ
http://www.wikidata.org/entity/Q3528348,भूपिंदर सिंह
http://www.wikidata.org/entity/Q2091561,सैयद अली
http://www.wikidata.org/entity/Q2096549,पुल्लेला गोपीचंद
http://www.wikidata.org/entity/Q1369271,साई प्रणीत भामिदिपति
http://www.wikidata.org/entity/Q3528924,गुलाम गार्ड
http://www.wikidata.org/entity/Q3528958,रमेश सक्सेना
http://www.wikidata.org/entity/Q3528976,उमेश कुलकर्णी
http://www.wikidata.org/entity/Q3529027,वूरकेरी रमन
http://www.wikidata.org/entity/Q3529044,गुरशरन सिंह
http://www.wikidata.org/entity/Q3519811,लाला अमरनाथ
http://www.wikidata.org/entity/Q3519856,सी॰ के॰ नायडू
http://www.wikidata.org/entity/Q3519988,प्रवीण कुमार
http://www.wikidata.org/entity/Q3528412,चंदू सरवटे
http://www.wikidata.org/entity/Q3528415,राजिंदर घई
http://www.wikidata.org/entity/Q3528418,नाउमल जिउमल
http://www.wikidata.org/entity/Q3528430,नारायण स्वामी
http://www.wikidata.org/entity/Q3528442,सुधाकर राव
http://www.wikidata.org/entity/Q3528506,सुनील जोशी
http://www.wikidata.org/entity/Q3528535,लढा रामजी
http://www.wikidata.org/entity/Q3528551,अजय रात्र
http://www.wikidata.org/entity/Q3528561,देवांग गाँधी
http://www.wikidata.org/entity/Q3528570,अशोक गंडोतरा
http://www.wikidata.org/entity/Q3502936,सुधा सिंह
http://www.wikidata.org/entity/Q448040,जवल गुत्त
http://www.wikidata.org/entity/Q2104148,डोला बेनर्जी
http://www.wikidata.org/entity/Q3528577,वी॰ आर॰ वी॰ सिंह
http://www.wikidata.org/entity/Q3528589,विजय दहिया
http://www.wikidata.org/entity/Q3528654,नोएल डेविड
http://www.wikidata.org/entity/Q3528743,राहुल संघवी
http://www.wikidata.org/entity/Q3528769,पारस म्हाम्ब्रे
http://www.wikidata.org/entity/Q448360,पुसर्ला वेंकटा सिंधु
http://www.wikidata.org/entity/Q3530692,सुबरमणियम बद्रीनाथ
http://www.wikidata.org/entity/Q3531252,अब्बास अली बेग
http://www.wikidata.org/entity/Q3531843,रोजर बिन्नी
http://www.wikidata.org/entity/Q3531855,सुधीर नाइक
http://www.wikidata.org/entity/Q3528811,जैकब मार्टिन
http://www.wikidata.org/entity/Q3528824,पंकज धरमानी
http://www.wikidata.org/entity/Q3528835,सौरभ तिवारी
http://www.wikidata.org/entity/Q3528858,सरणदीप सिंह
http://www.wikidata.org/entity/Q3528888,श्रीधरन श्रीराम
http://www.wikidata.org/entity/Q3528904,अभिजीत काले
http://www.wikidata.org/entity/Q27907438,संजना संतोष
http://www.wikidata.org/entity/Q27907437,रसिका राजे
http://www.wikidata.org/entity/Q3529391,केकी तारापोर
http://www.wikidata.org/entity/Q3529415,मन सूद
http://www.wikidata.org/entity/Q3529429,प्रोबीर सेन
http://www.wikidata.org/entity/Q3529463,इंद्रजीत सिंहजी
http://www.wikidata.org/entity/Q3529473,साइराज बहुतुले
http://www.wikidata.org/entity/Q3529514,जतिन परांजपे
http://www.wikidata.org/entity/Q2117892,मोहम्मद कैफ़
http://www.wikidata.org/entity/Q2123867,गुरूसाई दत्त
http://www.wikidata.org/entity/Q27830979,अभिजीत देशमुख
http://www.wikidata.org/entity/Q3528118,सुभाष गुप्ते
http://www.wikidata.org/entity/Q3528133,मनोहर हार्दिकर
http://www.wikidata.org/entity/Q3528139,बल दानी
http://www.wikidata.org/entity/Q3528159,जनार्दन नवले
http://www.wikidata.org/entity/Q3528174,सुंदरनाथ
http://www.wikidata.org/entity/Q2249476,দিব্যেন্দু বড়ুয়া
http://www.wikidata.org/entity/Q1391342,प्रकाश पादुकोण
http://www.wikidata.org/entity/Q1391241,युकी भांबरी
http://www.wikidata.org/entity/Q3529061,दत्ताराम हिंडलेकर
http://www.wikidata.org/entity/Q3529122,सी॰ एस॰ नायडू
http://www.wikidata.org/entity/Q3529348,राजेश चौहान
http://www.wikidata.org/entity/Q3529352,रुसी मोदी
http://www.wikidata.org/entity/Q448347,मधुमिता बिष्ट
http://www.wikidata.org/entity/Q453607,तानिया सचदेवा
